filter,rho,mse
FullSF,4.0,0.48052334440354666
FullSF,128.0,0.22626706758619183
FullSF,8.0,0.3780378971804119
DiagSF,2.0,0.6275438375669443
DiagSF,16.0,0.30748102712170816
DiagSF,32.0,0.2593375464477329
DiagSF,1.0,0.7560499312591076
DiagSF,128.0,0.1283480384440884
DiagSF,4.0,0.5068004558780258
DiagSF,64.0,0.2178660621164097
DiagSF,8.0,0.392216604591519
DiagSF,256.0,NaN
BlockSF,16.0,0.31503879165483023
BlockSF,8.0,0.37944218522621487
BlockSF,256.0,NaN
BlockSF,32.0,0.2770296375918121
BlockSF,64.0,0.21169068737737248
BlockSF,4.0,0.495902242444327
BlockSF,128.0,0.11172252289384231
BlockSF,1.0,0.7218204870550184
FullSF,16.0,0.3034390358962778
FullSF,32.0,0.19266353841250408
FullSF,8.0,0.37304815328522833
FullSF,4.0,0.483157058346246
FullSF,256.0,NaN
FullSF,128.0,0.14261270863623654
FullSF,64.0,0.16835467767711984
FullSF,1.0,0.7189072348678588
DiagSF,2.0,0.6065937129917024
DiagSF,64.0,0.2657038138201788
DiagSF,8.0,0.38532480428116955
DiagSF,4.0,0.5052495236567534
DiagSF,32.0,0.22584733569849183
DiagSF,128.0,0.20683707757052602
DiagSF,256.0,NaN
DiagSF,16.0,0.2829979142598541
DiagSF,1.0,0.7374253827788166
BlockSF,64.0,0.14216072040599706
BlockSF,8.0,0.3805167389229239
BlockSF,4.0,0.4908464615071781
BlockSF,128.0,0.2700804651563067
BlockSF,32.0,0.22838714044189032
BlockSF,256.0,NaN
BlockSF,16.0,0.29317879007683767
BlockSF,1.0,0.7218404946881284
FullSF,8.0,0.37473419707444966
FullSF,4.0,0.4979208824101655
FullSF,64.0,0.1527223283180636
FullSF,128.0,0.11440856642518225
FullSF,32.0,0.23660877902676444
FullSF,256.0,NaN
FullSF,16.0,0.2923213992575422
FullSF,1.0,0.7125785515940009
DiagSF,2.0,0.6249037093412989
DiagSF,4.0,0.5033239476599723
DiagSF,16.0,0.3129819566024161
DiagSF,128.0,0.31153716040685675
DiagSF,64.0,0.23927347002679705
DiagSF,32.0,0.2076303799499708
DiagSF,1.0,0.7577175786192222
DiagSF,256.0,3.2909801273625594e167
DiagSF,8.0,0.3782528786775473
BlockSF,128.0,0.16699964477526225
BlockSF,1.0,0.7336799804953564
BlockSF,4.0,0.49382779564343304
BlockSF,16.0,0.298007049607457
BlockSF,64.0,0.22025628842281025
BlockSF,8.0,0.37323092753216797
BlockSF,256.0,NaN
BlockSF,32.0,0.2205677462816505
FullSF,16.0,0.2921133501622164
FullSF,8.0,0.3942868595862468
FullSF,32.0,0.23751152714837587
FullSF,128.0,0.13496504480895644
FullSF,4.0,0.488485592010499
FullSF,1.0,0.7234600863264827
FullSF,64.0,0.1839469404849363
FullSF,256.0,NaN
DiagSF,2.0,0.6030286553115883
BlockSF,2.0,0.6208041820964274
DiagSF,8.0,0.4021471932823922
DiagSF,16.0,0.30500702200047064
DiagSF,32.0,0.2217353350952006
DiagSF,4.0,0.49901000725365263
DiagSF,64.0,0.18088679835884344
DiagSF,128.0,0.2833755117248415
DiagSF,1.0,0.7452496490318552
DiagSF,256.0,NaN
BlockSF,1.0,0.7237605747415425
BlockSF,64.0,0.14461675995170611
BlockSF,8.0,0.4120081198843186
BlockSF,32.0,0.24204528999001046
BlockSF,16.0,0.3125011251407042
BlockSF,128.0,0.18789331448724902
BlockSF,4.0,0.5010739678858467
BlockSF,256.0,NaN
FullSF,1.0,0.7461416716261298
FullSF,128.0,0.2169718028374999
FullSF,64.0,0.1856767445127252
FullSF,32.0,0.24020137857369528
FullSF,8.0,0.3661467291636075
FullSF,16.0,0.2783258429338538
FullSF,4.0,0.5084415580087073
FullSF,256.0,NaN
DiagSF,2.0,0.6179714460677261
BlockSF,2.0,0.6031460093819789
DiagSF,1.0,0.7309528044212992
DiagSF,256.0,NaN
DiagSF,16.0,0.2836218653775771
DiagSF,64.0,0.17291707140975662
DiagSF,128.0,0.2539372737961494
DiagSF,32.0,0.21912578859483078
DiagSF,8.0,0.39736444464455545
DiagSF,4.0,0.5052902000694733
BlockSF,1.0,0.7227230433446011
BlockSF,16.0,0.31054726033138713
BlockSF,64.0,0.19678680131530063
BlockSF,256.0,NaN
BlockSF,8.0,0.37348542991638595
BlockSF,32.0,0.21803310256860098
BlockSF,4.0,0.49179496694227953
BlockSF,128.0,0.19188736301143777
FullSF,16.0,0.28451753611566183
FullSF,1.0,0.7490595502747609
FullSF,32.0,0.23572901872146848
FullSF,256.0,NaN
FullSF,128.0,0.11357642587921786
FullSF,64.0,0.1906419197492437
FullSF,8.0,0.3739858310699563
FullSF,4.0,0.5122579058467629
DiagSF,2.0,0.5915884453308345
DiagSF,1.0,0.7213631391464159
DiagSF,16.0,0.30471818950461
DiagSF,256.0,NaN
DiagSF,4.0,0.4961905275705502
DiagSF,64.0,0.23149750482876177
DiagSF,32.0,0.24754831829513127
DiagSF,8.0,0.3747564095969809
DiagSF,128.0,0.15775099953080385
BlockSF,1.0,0.7641217538289555
BlockSF,16.0,0.3032972392191204
BlockSF,64.0,0.18273500980698534
BlockSF,32.0,0.18424665593313963
BlockSF,256.0,NaN
BlockSF,8.0,0.3923130363131332
BlockSF,128.0,0.16536871385550037
BlockSF,4.0,0.5171067525018072
FullSF,1.0,0.7403175916517828
FullSF,4.0,0.5126406120441009
FullSF,8.0,0.3899638721675506
FullSF,16.0,0.28157606922087886
FullSF,256.0,NaN
FullSF,64.0,0.17045194606082206
FullSF,32.0,0.24004259521128737
FullSF,128.0,0.1435003793694351
DiagSF,2.0,0.6220712496474079
DiagSF,1.0,0.7582829865944508
DiagSF,256.0,NaN
DiagSF,64.0,0.2715093960173043
DiagSF,32.0,0.24765392711833137
DiagSF,128.0,0.24238646653959547
DiagSF,8.0,0.3866979971603024
DiagSF,16.0,0.3146984925565704
DiagSF,4.0,0.507004376865465
BlockSF,1.0,0.7099407673618895
BlockSF,256.0,NaN
BlockSF,32.0,0.2602923441407256
BlockSF,64.0,0.19494650492673454
BlockSF,16.0,0.2828938566919142
BlockSF,128.0,0.16728900496916527
BlockSF,8.0,0.3929649879177128
BlockSF,4.0,0.5111581180645743
FullSF,1.0,0.7371943330723435
FullSF,64.0,0.15492122005101164
FullSF,128.0,0.1421284031921919
FullSF,16.0,0.30375064420048353
FullSF,256.0,NaN
FullSF,4.0,0.4864069348693592
FullSF,8.0,0.38332272629046193
FullSF,32.0,0.21129618759038094
DiagSF,2.0,0.6084216629454017
DiagSF,1.0,0.7185326481030949
