filter,sparse_input,beta_scaling,beta,dim,mse
BlockSF,false,true,0.0125,512,0.9961975836409209
FullSF,false,true,0.017677669529663688,256,0.8434498210389838
BlockSF,false,false,0.1,1024,NaN
BlockSF,false,true,0.008838834764831844,1024,NaN
DiagSF,false,false,0.1,8,0.26346054995210333
DiagSF,false,false,0.1,16,0.26952618754621566
DiagSF,false,true,0.1,8,0.29625742070818656
DiagSF,false,false,0.1,32,0.3814288578677002
DiagSF,false,true,0.07071067811865475,16,0.44911033369569797
BlockSF,false,false,0.1,8,0.2539218082154233
DiagSF,false,false,0.1,64,0.3784201836170545
DiagSF,false,true,0.05,32,0.5877145282992317
BlockSF,false,true,0.1,8,0.2743964328093267
BlockSF,false,false,0.1,16,0.19776107790102562
FullSF,false,false,0.1,8,0.15860547544919085
FullSF,false,true,0.1,8,0.21042368749467655
BlockSF,false,true,0.07071067811865475,16,0.40533645130689017
DiagSF,false,false,0.1,128,NaN
DiagSF,false,true,0.035355339059327376,64,0.7948782357157882
BlockSF,false,false,0.1,32,0.2705257038776622
FullSF,false,false,0.1,16,0.23043945284814732
FullSF,false,true,0.07071067811865475,16,0.33204394280357014
BlockSF,false,true,0.05,32,0.5436097514079256
DiagSF,false,true,0.025,128,0.8311686734707328
BlockSF,false,false,0.1,64,0.35799286709124434
FullSF,false,false,0.1,32,0.2572302376228115
DiagSF,false,false,0.1,256,NaN
FullSF,false,true,0.05,32,0.4482816386000194
BlockSF,false,true,0.035355339059327376,64,0.6208483097203119
BlockSF,false,false,0.1,128,0.3881000180972543
FullSF,false,false,0.1,64,0.2667496226725579
DiagSF,false,true,0.017677669529663688,256,0.9356837163707649
DiagSF,false,false,0.1,512,NaN
FullSF,false,true,0.035355339059327376,64,0.6094284991207608
BlockSF,false,true,0.025,128,0.7403125581221165
DiagSF,false,true,0.0125,512,6.52391874098628e26
BlockSF,false,false,0.1,256,NaN
FullSF,false,false,0.1,128,0.32771879075349963
FullSF,false,true,0.025,128,0.7630132444876973
BlockSF,false,true,0.017677669529663688,256,0.895571762235346
BlockSF,false,false,0.1,512,3.569562406407372e55
FullSF,false,false,0.1,256,NaN
BlockSF,false,true,0.0125,512,NaN
FullSF,false,true,0.017677669529663688,256,0.8655499072480985
DiagSF,false,false,0.1,8,0.24473365350410467
DiagSF,false,false,0.1,16,0.291882466287731
DiagSF,false,true,0.1,8,0.29839113020342556
DiagSF,false,false,0.1,32,0.41129986361252313
DiagSF,false,true,0.07071067811865475,16,0.4574688266651732
BlockSF,false,false,0.1,8,0.2550855389297505
DiagSF,false,false,0.1,64,0.531783930205226
BlockSF,false,true,0.1,8,0.21104605225246975
DiagSF,false,true,0.05,32,0.5759223597748452
BlockSF,false,false,0.1,16,0.25604376410621965
FullSF,false,false,0.1,8,0.21769862938378937
FullSF,false,true,0.1,8,0.232488606615111
BlockSF,false,true,0.07071067811865475,16,0.34255212009467323
DiagSF,false,false,0.1,128,NaN
DiagSF,false,true,0.035355339059327376,64,0.790126024415435
BlockSF,false,false,0.1,32,0.25814653807037086
FullSF,false,false,0.1,16,0.19146361020493216
FullSF,false,true,0.07071067811865475,16,0.3061920441816031
BlockSF,false,true,0.05,32,0.47027923558722795
DiagSF,false,true,0.025,128,0.8810232721868418
FullSF,false,false,0.1,32,0.27506451901486495
BlockSF,false,false,0.1,64,0.3112525366344251
DiagSF,false,false,0.1,256,NaN
FullSF,false,true,0.05,32,0.5002419893171286
BlockSF,false,true,0.035355339059327376,64,0.6802043980385951
DiagSF,false,false,0.1,512,NaN
BlockSF,false,false,0.1,128,NaN
FullSF,false,false,0.1,64,0.2773690287247484
DiagSF,false,true,0.017677669529663688,256,0.9494280320655635
FullSF,false,true,0.035355339059327376,64,0.6083434453531292
BlockSF,false,true,0.025,128,0.8117169818048728
DiagSF,false,true,0.0125,512,Inf
DiagSF,false,false,0.1,1024,NaN
BlockSF,false,false,0.1,256,NaN
FullSF,false,false,0.1,128,0.12462744461190538
FullSF,false,true,0.025,128,0.7829202013817255
BlockSF,false,true,0.017677669529663688,256,0.8994017941389124
DiagSF,false,true,0.008838834764831844,1024,3.840839276506588e25
BlockSF,false,false,0.1,512,NaN
FullSF,false,false,0.1,256,NaN
BlockSF,false,true,0.0125,512,NaN
FullSF,false,true,0.017677669529663688,256,0.8548595830129292
BlockSF,false,false,0.1,1024,4.878213084329504e128
BlockSF,false,true,0.008838834764831844,1024,NaN
DiagSF,false,false,0.1,8,0.2995652689836175
DiagSF,false,false,0.1,16,0.3557395873252155
DiagSF,false,true,0.1,8,0.24850454408145808
DiagSF,false,false,0.1,32,0.39486637511469636
DiagSF,false,true,0.07071067811865475,16,0.4187402811801653
BlockSF,false,false,0.1,8,0.1681381964476941
BlockSF,false,true,0.1,8,0.22175098049343928
DiagSF,false,false,0.1,64,0.40121251467251645
DiagSF,false,true,0.05,32,0.6761481840377664
BlockSF,false,false,0.1,16,0.34561581482015963
FullSF,false,false,0.1,8,0.2089980189201072
FullSF,false,true,0.1,8,0.1699254994589898
BlockSF,false,true,0.07071067811865475,16,0.3546845467467052
DiagSF,false,false,0.1,128,1.0074375923395686e44
BlockSF,false,false,0.1,32,0.2903434329447779
DiagSF,false,true,0.035355339059327376,64,0.7829667971498623
FullSF,false,false,0.1,16,0.25784192880795515
FullSF,false,true,0.07071067811865475,16,0.2869069858858613
