filter,sparse_input,beta,dim,mse
DiagSF,false,0.0125,512,0.8652100649200428
DiagSF,true,0.1,256,0.9074669654645406
DiagSF,false,0.008838834764831844,1024,0.9233990555643622
DiagSF,true,0.1,512,0.9178626166632897
DiagSF,false,0.00625,2048,0.9648253255114192
DiagSF,true,0.1,1024,0.9582469510866013
DiagSF,true,0.1,2048,0.9895923444138411
BlockSF,false,0.1,8,0.27367729953405434
BlockSF,true,0.1,8,0.23730384099061338
BlockSF,false,0.05,32,0.44782773479611504
BlockSF,false,0.07071067811865475,16,0.3261370242756063
BlockSF,true,0.1,16,0.36730998034706885
BlockSF,true,0.1,32,0.562147277139169
BlockSF,false,0.035355339059327376,64,0.6024865207613467
BlockSF,true,0.1,64,0.7015190609633045
BlockSF,false,0.025,128,0.6912495809097401
BlockSF,true,0.1,128,0.8178076327903308
BlockSF,false,0.017677669529663688,256,0.8019801143233519
BlockSF,false,0.0125,512,0.8918116721557466
BlockSF,true,0.1,256,0.8503470337155729
BlockSF,false,0.008838834764831844,1024,0.91570855646032
BlockSF,true,0.1,512,0.9418823475112785
BlockSF,false,0.00625,2048,0.96265506339726
BlockSF,true,0.1,1024,0.9686671864307878
BlockSF,true,0.1,2048,0.9929978877814704
FullSF,false,0.1,8,0.2451153414742635
FullSF,true,0.1,8,0.24878239821813114
FullSF,false,0.05,32,0.4688829781285164
FullSF,false,0.07071067811865475,16,0.3106780255278538
FullSF,true,0.1,16,0.38647867949188525
FullSF,true,0.1,32,0.5304353054290044
FullSF,false,0.035355339059327376,64,0.5638242510881651
FullSF,true,0.1,64,0.7092135582410709
FullSF,false,0.025,128,0.7067588176197814
FullSF,true,0.1,128,0.8062535634823706
FullSF,false,0.017677669529663688,256,0.7948931133181669
FullSF,true,0.1,256,0.8647637565501163
FullSF,false,0.0125,512,0.8731003751011001
FullSF,true,0.1,512,0.9514890955799126
FullSF,false,0.008838834764831844,1024,0.9276956666192735
DiagSF,false,0.1,8,0.27060558428877596
DiagSF,true,0.1,8,0.26814326889304835
DiagSF,false,0.05,32,0.4980782343421175
DiagSF,false,0.07071067811865475,16,0.34714285782322596
DiagSF,true,0.1,32,0.5719141336446728
DiagSF,false,0.035355339059327376,64,0.5860808018536613
DiagSF,true,0.1,16,0.3859717522091712
DiagSF,true,0.1,64,0.7691466705924723
DiagSF,false,0.025,128,0.7157965549288869
DiagSF,true,0.1,128,0.9407687680576124
DiagSF,false,0.017677669529663688,256,0.7923853855428459
DiagSF,false,0.0125,512,0.8615758051061154
DiagSF,true,0.1,256,0.8760823561608273
DiagSF,false,0.008838834764831844,1024,0.9201427858533127
DiagSF,true,0.1,512,0.9004673575958031
DiagSF,false,0.00625,2048,0.9625113344712241
DiagSF,true,0.1,1024,0.9622842133977458
DiagSF,true,0.1,2048,0.9813293245875533
BlockSF,false,0.1,8,0.22689545539297837
BlockSF,true,0.1,8,0.22540527433442586
BlockSF,false,0.05,32,0.4598689219873778
BlockSF,false,0.07071067811865475,16,0.3318125498370725
BlockSF,true,0.1,16,0.37898148101783863
BlockSF,true,0.1,32,0.5379373590419949
BlockSF,false,0.035355339059327376,64,0.5915318633686979
BlockSF,true,0.1,64,0.7654420059934194
BlockSF,false,0.025,128,0.687248207939677
BlockSF,true,0.1,128,0.8387653774058975
BlockSF,false,0.017677669529663688,256,0.7927848566177139
BlockSF,false,0.0125,512,0.8750198670166744
BlockSF,true,0.1,256,0.8800761274129746
BlockSF,false,0.008838834764831844,1024,0.9248757268445609
BlockSF,true,0.1,512,0.9377540697156205
BlockSF,false,0.00625,2048,0.9685889730729673
BlockSF,true,0.1,1024,0.9596867568576292
BlockSF,true,0.1,2048,0.9841499771817062
FullSF,false,0.1,8,0.22911178298109913
FullSF,true,0.1,8,0.22654566030410617
FullSF,false,0.07071067811865475,16,0.33084298774472876
FullSF,false,0.05,32,0.43310580946882804
FullSF,true,0.1,16,0.3764891918326936
FullSF,true,0.1,32,0.5077704125225447
FullSF,false,0.035355339059327376,64,0.5563193666880776
FullSF,true,0.1,64,0.7122614573325146
FullSF,false,0.025,128,0.6857650279894523
FullSF,true,0.1,128,0.8792279080895641
FullSF,false,0.017677669529663688,256,0.7719372270061626
FullSF,true,0.1,256,0.8697031905318117
FullSF,false,0.0125,512,0.8456852559789174
FullSF,true,0.1,512,0.8972184546216082
FullSF,false,0.008838834764831844,1024,0.9112150627299755
DiagSF,false,0.1,8,0.2473045093547072
DiagSF,true,0.1,8,0.25506763152930817
DiagSF,false,0.05,32,0.4875734668626622
DiagSF,false,0.07071067811865475,16,0.36014128028137166
DiagSF,true,0.1,32,0.5691091401437466
DiagSF,false,0.035355339059327376,64,0.5921972025387806
DiagSF,true,0.1,16,0.3573361274478632
DiagSF,true,0.1,64,0.8130508704703628
DiagSF,false,0.025,128,0.7233102225555262
DiagSF,true,0.1,128,0.89455556095927
DiagSF,false,0.017677669529663688,256,0.8036295166348866
DiagSF,false,0.0125,512,0.8673121461935872
DiagSF,true,0.1,256,0.8847426736421404
DiagSF,false,0.008838834764831844,1024,0.9486144892316644
DiagSF,true,0.1,512,0.9051584748451503
DiagSF,false,0.00625,2048,0.9615644097189467
DiagSF,true,0.1,1024,0.9585326914207998
DiagSF,true,0.1,2048,0.98024691523071
BlockSF,false,0.1,8,0.21611866474164196
BlockSF,true,0.1,8,0.23774925944634853
BlockSF,false,0.05,32,0.48952644968923054
BlockSF,false,0.07071067811865475,16,0.343323451613255
BlockSF,true,0.1,16,0.36591761767151165
BlockSF,true,0.1,32,0.5411179987445086
BlockSF,false,0.035355339059327376,64,0.5874129803064658
BlockSF,true,0.1,64,0.6839334336276218
BlockSF,false,0.025,128,0.7000990031847713
BlockSF,true,0.1,128,0.8196275161925675
BlockSF,false,0.017677669529663688,256,0.8021081592336085
BlockSF,false,0.0125,512,0.8703365005033159
BlockSF,true,0.1,256,0.8804799009726598
BlockSF,false,0.008838834764831844,1024,0.925140073068572
BlockSF,true,0.1,512,0.9214573613658371
BlockSF,false,0.00625,2048,0.9561767727241742
BlockSF,true,0.1,1024,0.9662759545486737
BlockSF,true,0.1,2048,0.9815006403717047
FullSF,false,0.1,8,0.2493965785229084
FullSF,true,0.1,8,0.24376458833979214
FullSF,false,0.07071067811865475,16,0.3176857158073464
FullSF,false,0.05,32,0.47705805043288313
FullSF,true,0.1,16,0.3543825172555012
FullSF,true,0.1,32,0.538729608206659
FullSF,false,0.035355339059327376,64,0.5626667734670697
FullSF,true,0.1,64,0.709936079606637
FullSF,false,0.025,128,0.6484313743909258
FullSF,true,0.1,128,0.8420401229484195
FullSF,false,0.017677669529663688,256,0.7696568554413089
FullSF,true,0.1,256,0.8667082700255627
FullSF,false,0.0125,512,0.8645672954570515
FullSF,true,0.1,512,0.9081836437884152
DiagSF,false,0.1,8,0.26978281635762524
DiagSF,true,0.1,8,0.27888226776635006
DiagSF,false,0.05,32,0.4998656141731215
DiagSF,false,0.07071067811865475,16,0.3550574282765809
DiagSF,true,0.1,32,0.5685341495051031
DiagSF,false,0.035355339059327376,64,0.6063970217565476
DiagSF,true,0.1,16,0.3535859780596249
DiagSF,true,0.1,64,0.7548237076505251
DiagSF,false,0.025,128,0.6948390824925047
DiagSF,true,0.1,128,0.9126847740876609
DiagSF,false,0.017677669529663688,256,0.8083235355149035
DiagSF,false,0.0125,512,0.8661707337223534
DiagSF,true,0.1,256,0.888258334920209
DiagSF,false,0.008838834764831844,1024,0.9181569269358835
DiagSF,true,0.1,512,0.9205799821264522
DiagSF,false,0.00625,2048,0.9639972918173177
DiagSF,true,0.1,1024,0.9582862858408769
DiagSF,true,0.1,2048,0.9972129595697538
BlockSF,false,0.1,8,0.24203430175690024
BlockSF,true,0.1,8,0.24924538242965297
BlockSF,false,0.05,32,0.46141493222948016
BlockSF,false,0.07071067811865475,16,0.3439235920361684
